category	text
Homophobic	@Kadhayalla Nijam  thaa gay Punda Apo ne confirm gay tha
Non-anti-LGBT+ content	love you  too Nanba
Non-anti-LGBT+ content	Semma super 👍👍👍👍
Non-anti-LGBT+ content	Ava ka elom kadavuluka
Non-anti-LGBT+ content	Bro gay persons kalyanam panninaa kozhanda pethuka mutiyumaa apti patta person a paarthu irukingala
Non-anti-LGBT+ content	Vera leval romba super
Non-anti-LGBT+ content	Simple! Ungaluku pudikkalana kandukkaadheenga!
Non-anti-LGBT+ content	Prakash Durairaj.. naan saabam vidran.  Unaku poraka pora illana porantha pullainga homosexual illa lesbiana thaan irukum... ha ha ha. Respect others feeling.
Non-anti-LGBT+ content	nalla cinematic typela peasringa
Non-anti-LGBT+ content	@George Shankar  amanga enakku yarum gaynu sollitu summa time pass ku mgs panna varavangala kanda enakku suthama pudikkathu antha maari varavangala naa enna thittuvane theriyathu intha maari ethana pearu kelampi irukanunganu theriyala porikki pasanga 😡😠😡
Non-anti-LGBT+ content	Nanpa part 2 l am waiting😁😁😁😁
Non-anti-LGBT+ content	@jesus baby  tq dr
Non-anti-LGBT+ content	Thirunangai ku erukura manasu yaruku eruku
Non-anti-LGBT+ content	Well said 👏👏👏
Non-anti-LGBT+ content	Kadavul innum intha ulagatha vitu vachurukarla mothala avara sollanum
Homophobic	Abdulla Abdulla unmai than.. un mathamum, un thai thathaiyum kude pirarai kevalam padutha kuthathu soonnathu than? Appuram nungge yen ippadi pannuringge?
Non-anti-LGBT+ content	Ulagathula evunga mathiri yaralaiumae anbu kata mudiyathu ,
Non-anti-LGBT+ content	Vishwa Hanu nan loose ve irunthuttu poren enaku kavalai illa... ena pesurathunu theriyama pesura paru... oru kelvi nan unna asinga thittina ne chumma irupiya
Homophobic	Orinaserkkai miga periya pavam, sothom komara patanathai theeiyinal azhitha Pavam...vendam Manam marungal,
Non-anti-LGBT+ content	Naama kaasu poduradha modhalla niruthanum  somperinga eallaarum kaithatta aarampuchuttaanga
Non-anti-LGBT+ content	Child rapekuu oruu section create panaa therilaaa. Yedhuu ipooo naatukuu rombaaa mukiyaaam..
Non-anti-LGBT+ content	u r awesome
Homophobic	Enna krumam da Idhu
Non-anti-LGBT+ content	Kandipa Intha video ellarukum reachana nallarukum
