category	text
unknown_state	Sunny chechi fans evide like adichu power kaniku🤣🤣
Positive	Angane july month ile ende aadyathe leave njan angu edukuva July 5 nu
unknown_state	ഏട്ടന്റെ പുതിയ പടത്തിനു വേണ്ടി കാത്തിരിക്കുന്നവർ ലൈക്‌ ബട്ടൺ അടിച്ചു പോളിക്കോ-----------
Positive	ഇനി ലാലേട്ടന്റെ വേട്ട തുടങ്ങാൻ പോകുന്നു....... മുൻ കാല collection recordukal ഭേതിച്ചിരിക്കും
Positive	Trailer powli oru raksha illa . Pakshea padam irangattea veruthea over degrade venda padam irangittu paraya
Positive	Malayalam padam thanne aanu 2020 vere level
Positive	History of Mammukka   kattawaiting and support love u Mammukka
unknown_state	yaaru andha mech le penne ?
unknown_state	ആമയെ വെള്ളത്തിൽ മുക്കി കൊല്ലുന്ന ഇനമാ.. ..
Positive	ജോഷി രണ്ടുംകല്പിച്ചു ആണെല്ലോ... സംഭവം എന്തായാലും പൊളിക്കും
unknown_state	ഇതിൽ സ്കോർ ചെയ്യാൻ പോവുന്നത് സുഷിൻ ശ്യാം തന്നെ
Positive	സ്വാസിക.... സ്വാസു.... love u dear.... all the best മുത്തേ... ALL KERALA SWASIKA FANS ASSOCIATION.....
unknown_state	ഒരു കാതിൽ ഓല ഞാൻ കണ്ടീല ... ചെക്ക്
unknown_state	SIDDIQUE nde hit aaya last movie ethaarunnu
unknown_state	ആദ്യ നൂറു കോടി വേണ്ടവർ... adi mwonoose like
unknown_state	ഈ സിനിമ കാണണം എന്ന് ആഗ്രഹം ഉള്ള എത്ര പേരുണ്ട് ഇവിടെ
Negative	Ithinidakk 2 pearum dislike paniyum kashttam
unknown_state	Vilan kanndide chiri adakkan pattath njan kannde film  ithannu
Positive	My fav  daily 4 വട്ടം കേള്ക്കും
Positive	last le aa idi ntammooo Range saanam
Positive	ikka kidukki kalanju ethe mass Enne paranjal pora marana mass
Positive	സലിം കുമാർ ആകെ ഒരു second മാത്രേ trailer ൽ ഉള്ളൂ... But....🤩🤩
Positive	Mass Director Joshi Sir ഗംഭീര തിരിച്ചുവരവ് 🤗🤗🤗🤗
Positive	Superb Laletta .....Love you lotsssss......Othiri ishtam Lalettane
unknown_state	ശ്രുതി ഉണ്ട് അല്ലോ ഇതിൽ ചെറിയ റോൾ
