category	text
Negative	ಒಂದು ದೇಶದ ಮುಂದುವರಿಯುವುದು ಅದರ ಆರ್ಥಿಕ ಸ್ಥಿತಿಯನ್ನು ಅವಲಂಬಿಸುವುದಿಲ್ಲ. ಅವರು ಮಾನವೀಯತೆಯಲ್ಲಿ ಎಷ್ಟು ಸಮರ್ಥರು ಎನ್ನುವುದನ್ನು ಅವಲಂಬಿಸಿದೆ. ಭಾರತದಲ್ಲಿ ಅನಕ್ಷರತೆ ಇದೆ ಆ ಅನಕ್ಷರಸ್ಥರನ್ನು ಅವರ ಅನಕ್ಷರತೆಯೇ
Positive	ಕನ್ನಡದಲ್ಲಿ ಡೈಲಿ ಟೆಕ್ ಅಪ್ಡೇಟ್ಸ್ ಪಡೆಯಲು ಸಬ್ಸ್ಕ್ರೈಬ್ ಮಾಡಿ ನಮ್ಮ ಚನ್ನೆಲ್ಗೆ
not-Kannada	Super sar song
Negative	Tiktokers present situation... nನೋಡುವವರು ಯಾರು ನಮ್ಮ ವೀಡಿಯೋನೂ
Positive	Super ಸಾಂಗ್ ವೆರಿ ನೈಸ್....
Negative	Varshakke 3 thagadu movie madi industry haal mado hero galu ondh kade adrenn3 Varsha kasta pattu ondhu olle film mado namma Rakshith Shetty haagu Yash innondh kade n
Positive	Tickets amount 10000 adru mosa illa ... Love you  all
Positive	Super super super film I can't explain
Mixed feelings	@Wild Rex ಕಟ್ಟಬೇಕು bronಖಂಡಿತಾ ಕಟ್ಟುತ್ತೆ  bro
Positive	shankaragouda desaigoudra super
unknown state	@Vinay Vn  nani gentle men??
unknown state	Nayanappa's book ??
Mixed feelings	Who is here after 300k likes
Positive	Sir ನಿಮ್ಮ ಮಾತು 100 ಕ್ಕೆ ೧೦೦% ಸತ್ಯ..
Positive	Very nice togari tippa story
Positive	Superb songnದೀಪಣ್ಣನ ಅಭಿಮಾನಗಳ ಕಡೆಯಿಂದ ರಕ್ಷಿತ ಶೆಟ್ಟಿಯವರಿಗೆ ಶುಭವಾಗಲಿ....
Negative	Erbahudu please support maadi ea rakshit sitting sir genRashmikage hotte uribeku nodi
Negative	Promotion chennagi nadtilla
Negative	Dislike madiroeu pakka Hollywood heroine fans
Positive	Tq bro for saport Trollers iam troller nಜೈ ಹಿಂದ್
Positive	Adi and dia
Mixed feelings	Bro a game yavdu
Positive	Finally  movie nodaytu..... Adbhuta atyadbhuta......... Nodo prati kshananu taleli budhi odtane eirute...... Amazing
not-Kannada	Different star rakshit sir
not-Kannada	Bro superb keep doing
Negative	ರೀ ನಿಮ್ಮ ತಂದೆಯನ್ನು ನೆನೆದು ನೀವು ಮೊಸಳೆ ಕಣ್ಣೀರು ಹಾಕುತ್ತೀರಾ
Positive	ಇದೇ ಥರ ಕನ್ನಡ ಚಲನಚಿತ್ರಗಳನ್ನು ಕೊಡ್ತಾರೆ ರಕ್ಷಿತ್ ಶೆಟ್ಟಿಯವರ ಧನ್ಯವಾದಗಳು
Positive	Super song buddy
Positive	Daily hakri........ nim video super agirutte
unknown state	Wat dat means bro
not-Kannada	hi good day next
not-Kannada	Super   music
Negative	Eega ellakade ursthayirodu kannadigare
Positive	Yes boss e film maatea 7 sala alla 10 sala nodidru bore aagalla
Negative	ಏನು ಮಾಡೋದು ಸರ್ ದೇಶ ಉದ್ದಾರ ಮಾಡುವಷ್ಟು ದುಡ್ಡನ್ನು ನಕಲಿ ಗಾಂಧಿಗಳು ಲೂಟಿ ಮಾಡಿದ್ದಾರೆ ಅದು ಅಲ್ದೇ ಒಬ್ಬ ವಿದೇಶಿ ಮಹಿಳೆ ಕೈಯಲ್ಲಿ ದೇಶ ಸಿಕ್ಕು ಬರಬಾರದ ಪರಸ್ಥಿತಿಯಲ್ಲಿ ಬಂದುಬಿಟ್ಟಿದೆ ಅವಳ ಬ್ಯಾಂಕ್ ಬ್ಯಾಲೆನ್ಸ್ 3 ಬಿಲಿಯನ್ ಇದೆ ಯಾರಪ್ಪನ ಮನೆ ದುಡ್ಡು ಅದು ಸ್ವಲ್ಪ ಅದರ ಬಗ್ಗೆ ಒಂದು ವಿಡಿಯೋ ಮಾಡಿ ಲೂಟಿಕೋರರ ನಕಲಿ ಗಾಂಧಿಗಳ ಬಗ್ಗೆ
Mixed feelings	Game yavadu bro adu
Negative	ಅದ್ಭುತವಾದ ಸಿನಿಮಾ. ನಾನು ಇತ್ತೀಚೆಗೆ ನೋಡಿದ ಎಲ್ಲ ಕನ್ನಡ ಸಿನಿಮಾಗಳಿಗಿಂತ ಇದು ಒಂದು ತೂಕ ಜಾಸ್ತಿ. ಭಾವನೆಗಳ ಭಂಡಾರವನ್ನು ತುಂಬಿ ಕೊಡುವ ಇಂತಹ ಚಿತ್ರಗಳು ಹಿಟ್ ಆಗದಿರುವುದು ಕನ್ನಡ ಚಿತ್ರರಂಗದ ವಿಪರ್ಯಾಸ. ನಿರ್ದೇಶಕರ ಕಲಾತ್ಮಕತೆ ಹಾಗೂ ಸೃಜನಶೀಲತೆಯನ್ನು ಹೊಗಳಲು ಪದಗಳೇ ಸಾಲವು.. ಇಂತ ಸದಭಿರುಚಿಯ ಚಿತ್ರಗಳೇ ಕನ್ನಡ ಚಿತ್ರರಂಗದ ಜೀವಾಳ. ಕಥೆ
not-Kannada	@Ajay Joshi Bhai kannada language me dekh mujhe konsi Kannada aati prr samaj aa gyii
unknown state	Ajanesh lokanath
Negative	Bere singer ge ee song kettidre innu cholo keltittu
Negative	Lo gube don't compare anyone yellaru namma kannada super star
not-Kannada	38 M
Mixed feelings	Yakebdre krishnana shapa aduke
Positive	ಬೇಡ ನೀವು ಒಳ್ಳೆಯ ಮನುಷ್ಯ
not-Kannada	Movie is promising
Positive	ಶೆಟ್ರೇ ಸಿಗ್ನೇಚರ್ ಸ್ಟೆಪ್ .....ಮ್ಯಾಜಿಕಲ್ ಕಂಪೋಸ್ ಮತ್ತೊಮ್ಮೆ ...ಅಜನೀಶ್ ಲೋಕನಾಥ್............ ಮಾಸ್ ಎಲಿಮೆಂಟಿನಾ ಈ ಹಾಡು ಬಹಳ ತುಂಬಾ ದಿನದ ಮೇಲೇ ಮತ್ತೆ ಮತ್ತೆ ಹಾಕಿ ಕೇಳಿದೆ........... ಹಾಡಿನಲ್ಲಿರುವ ಸಾಹಿತ್ಯದಂತೆ ಅವನೆ ಶ್ರೀಮನ್ನಾರಯಣ ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸುವ ಅವತಾರವಾಗಲಿ
Positive	Super music avane srimannarayana movie super it movie anoru like me
not-Kannada	@Wild Rex कब तक हो सकती है रिलीज़
Mixed feelings	Super danger #1
Positive	ನಿಜವಾಗಿಯೂ ಇದು ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸೋ ಅವತಾರ.. ಹ್ಯಾಟ್ಸ್ ಆಫ್ ನಾರಾಯಣ
