text,category
ഇവരും ഇവരുടെ സംഗപരിവാരങ്ങളും ചേർന്ന് ഈ നാട് നാശകോശമാക്കാൻഉള്ള തയ്യാറെടുപ്പിലാ ഇവരെ പറഞ്ഞിട്ട് ഒരു കാര്യവുമില്ല ഇതുപോലുള്ള ചെറ്റത്തരങ്ങൾക്കു എതിരെ ശബ്‌ദം ഉയർത്താൻ ഭരണ സ്ഥാനത്തു ഒരു ആണ് പോലുമില്ല കഷ്ടം,Homophobic
കഷ്ടം ഇതിനൊന്നും കോടതി അനുമതി നൽകാൻ പാടില്ല ഉണ്ടാവുന്നത് ഒരു പെണ്കുഞ്ഞാണെങ്കിൽ ഒരു അച്ഛൻ പീഡിപ്പിച്ചു എന്നാ news കുറേ കേട്ടിട്ടുണ്ട് അപ്പോഴാ രണ്ട് അച്ചന്മാർ ആ കുഞ്ഞ് ആരെയാ അച്ഛാ എന്ന് വിളിക്കുക അതിന് ഒരു അമ്മ വേണം എന്ന് ആഗ്രഹിക്കില്ലേ കഷ്ടം,Homophobic
ഏതോ പുരാണ കാലം മുതൽ ഇന്ത്യയിലും അറേബ്യയിലും ചൈനയിലും റോമിലും ഒക്കെ ആണും ആണും പ്രേമിച്ചിരിന്നിട്ടും അവസാനിക്കാത്ത ലോകം ഇന്ന് വൈകുന്നേരം ഇവർ കാരണം അവസാനിക്കുകയാണ് എങ്കിൽ അങ്ങു പോട്ടേ ന്ന് വെച്ചേക്ക്,Non-anti-LGBT+ content
Deepak Jayadevan schoolile rss adyapaganmaran naindamakkall,Non-anti-LGBT+ content
muzhuvan bahumanathode ningal ellavareyum respect cheythu kondu oru karyam chodhikate aanungalum pennungalum valare vruthiyayi dressum make upum cheyyunnu allathavarum undu k but ninagal ellavarum valare mosamayi make up cheyyunnu enthu kondu,Non-anti-LGBT+ content
മരിക്കുക ഇവനെ ഒകെയ് അടിച്ചു കൊല്ലാൻ ആ നാട്ടിൽ ആണുങ്ങൾ ഇല്ലേ കൊല്ലുക,Homophobic
Rose chechi pwoli,Non-anti-LGBT+ content
Lgbk nere rape epozhum nadakunond avark swathandhriyam ella,Non-anti-LGBT+ content
അവസാനിക്കാത്തതായി ഒന്നുമില്ല സ്വയം രക്ഷപ്പെടാൻ ശ്രമിക്കുക,Non-anti-LGBT+ content
Onn podo engane pottatharam parayathe naanam illenn mansilayu but naattukare ariyikkanda,Non-anti-LGBT+ content
കവികളെല്ലാം പ്രണയത്തിൻ വരികൾ രചിച്ചത് തന്റെ എതിർ ലിംഗത്തിലെ ഇണയെ വർണ്ണിച്ചു കൊണ്ടാണ് സ്വവർഗ്ഗിയെ അല്ല,Non-anti-LGBT+ content
Varun Punnala gay aayavarkk,Non-anti-LGBT+ content
Devadutt P നിങ്ങൾ എല്ലാവരുടെയും സർവേ എടുത്തോ അങ്ങനെ അല്ല എന്ന് തീരുമാനിക്കാൻ,Non-anti-LGBT+ content
Evar ethuvare enik oru upadravavum cheythitillaaavaru manushyaranu,Non-anti-LGBT+ content
Oru chechi chodhichu Keralathile janangal enthna njngale sEx worker aayi kaanunnennuAthinulla utharam ariyanamenki rathri oru 10 mani kazhinju ernakulam south muthal aluva vare onnu vandikk poyi nokkiya mathyShoo shoo ennu vilich varunnathu kana,Non-anti-LGBT+ content
Tan epozhum sheriyallalle,Non-anti-LGBT+ content
Shatriyannh aa karyagall ilengilum avar normal annh,Non-anti-LGBT+ content
എല്ലാത്തിലും മോശക്കാർ ഉണ്ട്,Non-anti-LGBT+ content
Bhagyam enik penninod matram instrst thoniyath  enthഒരു myrrrr erpaadanith,Homophobic
കുണ്ടനടി വലിയ ഡെക്കറേഷൻ venda,Homophobic
kaaanada kunnakale pakka udayipaa evark kunna thanneya ullath,Transphobic
Avarude shareeram vereyum thalachor vereyum ayathukknda,Non-anti-LGBT+ content
Sree കുന്ദൻ  kurach hype akunno charchaennoru samsayam,Homophobic
Kalyanathilupari avar onnichubdakumbol kittunna sathosham athanu valuthu athu ennum undavatte nalla koottukarke onnichu kazhiyan pattolu,Non-anti-LGBT+ content
അമ്മാതിരി ഊള ഉപദേശം ഒന്നും കിട്ടാഞ്ഞത് നന്നായി,Non-anti-LGBT+ content
നിങ്ങൾ അവിടെ നിന്ന് ഒന്നും കഴിച്ചില്ലല്ലോ,Non-anti-LGBT+ content
Lokavasanathinta naalukal ennapetu thudangi,Homophobic
കോഴിക്കോട്ടാരൊക്കെ കുണ്ടൻ മാരായി കാണുന്നുണ്ടെങ്കിൽ നിനക്ക് കോഴിക്കോടിനെ കുറിച് ഒന്നും അറിയാത്തത് കൊണ്ടാണ്,Non-anti-LGBT+ content
Ee sreekandannair onnum parayan sammadhikkumilalo,Non-anti-LGBT+ content
Sreelakshmi Suresh help cheyyavo murikkil keran,Non-anti-LGBT+ content
Nalla police officers,Non-anti-LGBT+ content
Homosexuality animals check chey appo ariyum ok,Non-anti-LGBT+ content
എനി എന്തെല്ലാം കാണണം ഈ ലോകത്ത്എൻെറ ദൈവേ,Non-anti-LGBT+ content
What freedom ഗേ marriage is not legal We should not encourage Pand Ulla allkarkum ingane prashnam oke undayirinu bt avar Ath adjust cheyth കുടുംബം lyf kond poyernu Ipo mindiyaa ഗേ marriage Ivark angane kutti undava Ithode koodi ivarde thalamura ivade avasanikyum Alavarum ingane thudangiya dinosaur oke poya pole manushan um ee boomi IL nin poyikollum,Homophobic
ningal straight anel straight aya etra rapists  murders undath vech thanne thalli odikano thanglude community enn paranjit,Non-anti-LGBT+ content
Sathyam nivin paulis look,Non-anti-LGBT+ content
Ellavarum manushyaranuennu chinthikkuvarkk arem separate ayi kanendi varilla,Non-anti-LGBT+ content
ഇതിൽ എന്താടോ അത്ര കാണാൻ ഉള്ളത് ,Non-anti-LGBT+ content
Ravi sir umayi close anu But Athinum munne thalakkakathy velicham keriyarunnu independently a free thinker,Non-anti-LGBT+ content
ഇനി അവരെന്തു പറഞ്ഞു കളിയാക്കും ,Non-anti-LGBT+ content
Poda poorimone nimboli kundan adikkan kundi koduth abinayicha athra valya abinayam aano myre Ivan kundan aayath kond perfect aayi cheyth athreyullu Padam aanel 5paisakk illlla,Homophobic
മാറ്റം കാലത്തിന് അനിവാര്യമാണ്,Non-anti-LGBT+ content
ഇത് മാനസിക അസുഖം അല്ല സാധാരണ ബിഹേവിയർ ആണെന്ന് ലോകാരോഗ്യ സംഘടന 1990ൽ തന്നെ പറഞ്ഞിട്ടുള്ളതാണ് എന്ത് ചികിത്സയെപ്പറ്റിയാണ് താങ്കൾ പറയുന്നത്,Non-anti-LGBT+ content
കോഴിക്കോട് മലയോര മേഖല അതായത് കൊടുവള്ളി താമരശ്ശേരി മടവൂർ etc ഭാഗങ്ങളിൽ പയ്യൻ അല്ലെങ്കിൽ ചെറുക്കൻ എന്നിങ്ങനെ വിളിക്കുന്നതിന് പകരം,Non-anti-LGBT+ content
Uppappeee,Non-anti-LGBT+ content
Dgzhrsustj Ighxufsuts പുരുഷന്മാരെ പോലും വെറുതെ വിടാത്ത കുണ്ടൻ തായോളികൾ ,Homophobic
Engottannu nammude samudayam pokunnath,Non-anti-LGBT+ content
Keralam muzuwanium prantaranu,Non-anti-LGBT+ content
ഒരു സമുദായം നശിപ്പിക്ക പെട്ട ചരിത്രം വീണ്ടും അവർത്തിക്ക പെടുന്നു ലൂത്തു നബിയുടെ സമുദായം ലോത് പ്രവാചകന്റെ നശിച്ചു പോയത് സ്വവർഗ അനുരാഗം കാരണം ആണ് സാക്ഷരത കേരളമേ വരാൻപോകുന്ന ദുരന്തം താങ്ങാൻ ശക്തിയുണ്ടോ,Non-anti-LGBT+ content
Ee society kk kittenda relevant aaya topicparayanulla baakki information koodii poratttee waiting for thatkorach peudeyenkilumellavarudeyum thalayil velicham veeshatte,Non-anti-LGBT+ content
Ansu s vlog ivan manushyasnehavum anthavum kodukk natha,Non-anti-LGBT+ content
ഇന്ന് ആണ്കുട്ടികളും സുരക്ഷിതർ ഒന്നും അല്ലെടോ,Non-anti-LGBT+ content
Lesbian gay gender change cheyan agrahikunavar akanam ennila,Non-anti-LGBT+ content
