id	sent0	label
0	Sunny chechi fans evide like adichu power kaniku🤣🤣	unknown_state
1	Angane july month ile ende aadyathe leave njan angu edukuva July 5 nu	Positive
2	ഏട്ടന്റെ പുതിയ പടത്തിനു വേണ്ടി കാത്തിരിക്കുന്നവർ ലൈക്‌ ബട്ടൺ അടിച്ചു പോളിക്കോ-----------	unknown_state
3	ഇനി ലാലേട്ടന്റെ വേട്ട തുടങ്ങാൻ പോകുന്നു....... മുൻ കാല collection recordukal ഭേതിച്ചിരിക്കും	Positive
4	Trailer powli oru raksha illa . Pakshea padam irangattea veruthea over degrade venda padam irangittu paraya	Positive
5	Malayalam padam thanne aanu 2020 vere level	Positive
6	History of Mammukka   kattawaiting and support love u Mammukka	Positive
7	yaaru andha mech le penne ?	unknown_state
8	ആമയെ വെള്ളത്തിൽ മുക്കി കൊല്ലുന്ന ഇനമാ.. ..	unknown_state
9	ജോഷി രണ്ടുംകല്പിച്ചു ആണെല്ലോ... സംഭവം എന്തായാലും പൊളിക്കും	Positive
10	ഇതിൽ സ്കോർ ചെയ്യാൻ പോവുന്നത് സുഷിൻ ശ്യാം തന്നെ	unknown_state
11	സ്വാസിക.... സ്വാസു.... love u dear.... all the best മുത്തേ... ALL KERALA SWASIKA FANS ASSOCIATION.....	Positive
12	ഒരു കാതിൽ ഓല ഞാൻ കണ്ടീല ... ചെക്ക്	unknown_state
13	SIDDIQUE nde hit aaya last movie ethaarunnu	unknown_state
14	ആദ്യ നൂറു കോടി വേണ്ടവർ... adi mwonoose like	unknown_state
15	ഈ സിനിമ കാണണം എന്ന് ആഗ്രഹം ഉള്ള എത്ര പേരുണ്ട് ഇവിടെ	unknown_state
16	Ithinidakk 2 pearum dislike paniyum kashttam	Negative
17	Vilan kanndide chiri adakkan pattath njan kannde film  ithannu	unknown_state
18	My fav  daily 4 വട്ടം കേള്ക്കും	Positive
19	last le aa idi ntammooo Range saanam	Positive
20	ikka kidukki kalanju ethe mass Enne paranjal pora marana mass	Positive
21	സലിം കുമാർ ആകെ ഒരു second മാത്രേ trailer ൽ ഉള്ളൂ... But....🤩🤩	Positive
22	Mass Director Joshi Sir ഗംഭീര തിരിച്ചുവരവ് 🤗🤗🤗🤗	Positive
23	Superb Laletta .....Love you lotsssss......Othiri ishtam Lalettane	Positive
24	ശ്രുതി ഉണ്ട് അല്ലോ ഇതിൽ ചെറിയ റോൾ	unknown_state
25	Padam onnu eragikotteda pahayanmare appalekum chelakkan kuthirikunu ororthanmaru.. Onnu poyinada..	Negative
26	കാണാതെ പോയ മൂക്കുത്തി വേറെ ആണ് . ഇപ്പൊ ഇട്ടിരിക്കുന്നത് സ്പെയർ മൂക്കുത്തി ആണ് .	unknown_state
27	Ee onam lalettanum pellerum ang edukkuvaaa	Positive
28	Anu sithara entha kanikatheaa .Oru pic engilum kanikum eee movieyil  ...	unknown_state
29	After Mohanlals ആര്യൻ its Nivins മൂത്തോൻ  ബോംബെ  അധോലോകം	unknown_state
30	Lalletan fans like adikku . Fans power kaaniku	unknown_state
31	പരുന്തിന്റെയും പുത്തൻ പണത്തിന്റെയും അവസ്ഥ വരരുത് പടച്ചോനെ .	Mixed_feelings
32	Padam pottum Ram fans munji.. sudapi teams  kuru pottum	Negative
33	Nice song alle ithine njan paadi kulaakitundu aarkengilum kekanumingil	unknown_state
34	Ivide kidannu thulland aa timil roomil onnude poy nokk penne	Negative
35	NIVIN #FIELDOUT AYI ENN PARANJAVARK ULLA KIDILAN #REPLY  #FIELDOUT AYAD ALLA.  ORIKKALUM AVAND NIKKANULLA #MARUNN VANGAN POYADHA  #VERUM_MASALLA #MARANA_MASS #MOOTHON	Positive
36	ഫഹദിന്റെ പടം ആയതോണ്ടാവും പിള്ളേർ അടക്കം നാച്ചുറൽ... പൊളിച്ചു	Positive
37	Eth mikkavarum putham panam Enna movie yepoleyakum thonnunnavar like	unknown_state
38	മൂക്കുത്തി കണ്ടില്ല എന്ന് പറഞ്ഞു ആ ചുവപ്പ് തൊപ്പികരനെ വളച്ചു മൂക്കുത്തി വാങ്ങിക്കാൻ ഉള്ള സൈക്കോ അടവ്	unknown_state
39	saikko shammy fans evide likam	unknown_state
40	മലയാളം സിനിമ ഇതേത് ലെവലിലേക്കാ പോകുന്നത് .   എജ്ജാതി ഐറ്റംസ്   Hats off geethu	Positive
41	Guys unlike cheyyunavar Mr.Pandit fans aanue..deshyam pidichit karyamilla..	Negative
42	ഫഹദിന്റെ ഭാര്യായിറ്റ് അഭിനയിച്ച ചേച്ചി  ഔട്‍സ്റ്റാന്ഡിങ് ആക്ടിങ്	Positive
43	ഏട്ടന്റെ പിള്ളേർ like ബട്ടൺ അടിച്ചു പൊളിക്ക്	unknown_state
44	Mammookkayude sound oru rekshayum illa pwolii	Positive
45	പാട്ട് വളരെ മോശം. സിനിമയും അങ്ങനെ ആകാതെ ഇരുന്നാൽ മതി ആയിരുന്നു	Mixed_feelings
46	രഞ്ജിത്തേട്ടൻ പൊന്നാനിയുടെ സ്വകാര്യ അഹങ്കാരം  ഞങ്ങളുടെ മുത്ത് രെഞ്ജിത്തേട്ടൻ	Positive
47	hooo koritharipp romaanjam ulpullakam entammo adaar trailer	Positive
48	Jayettante punyalanu sesham trissur slangilulla hitakum ethu	Positive
49	Like from Madurai (Tamil nadu) ....	not-malayalam
50	SHAMMY HERO AHH DA HERO	unknown_state
51	next  cheriyoon  kulki enduvade id	unknown_state
52	പുതിയ കമൻറുകൾ വന്നിട്ടുണ്ടോ എന്ന് ഇടക്കിടക്ക് വന്നു ചെക്ക് ചെയ്യുന്നത് ഞാൻ മാത്രമാണോ	unknown_state
53	1:49 തൊട്ടുള്ള ബിജിഎം പൊളിച്ചു...waiting for Driving License. #prithvirajsukumaran#surajvenjaramoodu#laljr	Positive
54	Padam polikum	Positive
55	അപ്പോൾ എന്റെ ചോദ്യം ഇതാണ്  ഇതിൽ ആരാണ് നായകൻ, ആരാണ് വില്ലൻ?	unknown_state
56	Like kuddunnu onnd pakshe views kuddethe enthaa	unknown_state
