text	category
Sunny chechi fans evide like adichu power kaniku🤣🤣	unknown_state
Angane july month ile ende aadyathe leave njan angu edukuva July 5 nu	Positive
ഏട്ടന്റെ പുതിയ പടത്തിനു വേണ്ടി കാത്തിരിക്കുന്നവർ ലൈക്‌ ബട്ടൺ അടിച്ചു പോളിക്കോ-----------	unknown_state
ഇനി ലാലേട്ടന്റെ വേട്ട തുടങ്ങാൻ പോകുന്നു....... മുൻ കാല collection recordukal ഭേതിച്ചിരിക്കും	Positive
Trailer powli oru raksha illa . Pakshea padam irangattea veruthea over degrade venda padam irangittu paraya	Positive
Malayalam padam thanne aanu 2020 vere level	Positive
History of Mammukka   kattawaiting and support love u Mammukka	Positive
yaaru andha mech le penne ?	unknown_state
ആമയെ വെള്ളത്തിൽ മുക്കി കൊല്ലുന്ന ഇനമാ.. ..	unknown_state
ജോഷി രണ്ടുംകല്പിച്ചു ആണെല്ലോ... സംഭവം എന്തായാലും പൊളിക്കും	Positive
ഇതിൽ സ്കോർ ചെയ്യാൻ പോവുന്നത് സുഷിൻ ശ്യാം തന്നെ	unknown_state
സ്വാസിക.... സ്വാസു.... love u dear.... all the best മുത്തേ... ALL KERALA SWASIKA FANS ASSOCIATION.....	Positive
ഒരു കാതിൽ ഓല ഞാൻ കണ്ടീല ... ചെക്ക്	unknown_state
SIDDIQUE nde hit aaya last movie ethaarunnu	unknown_state
ആദ്യ നൂറു കോടി വേണ്ടവർ... adi mwonoose like	unknown_state
ഈ സിനിമ കാണണം എന്ന് ആഗ്രഹം ഉള്ള എത്ര പേരുണ്ട് ഇവിടെ	unknown_state
Ithinidakk 2 pearum dislike paniyum kashttam	Negative
Vilan kanndide chiri adakkan pattath njan kannde film  ithannu	unknown_state
My fav  daily 4 വട്ടം കേള്ക്കും	Positive
last le aa idi ntammooo Range saanam	Positive
ikka kidukki kalanju ethe mass Enne paranjal pora marana mass	Positive
സലിം കുമാർ ആകെ ഒരു second മാത്രേ trailer ൽ ഉള്ളൂ... But....🤩🤩	Positive
Mass Director Joshi Sir ഗംഭീര തിരിച്ചുവരവ് 🤗🤗🤗🤗	Positive
Superb Laletta .....Love you lotsssss......Othiri ishtam Lalettane	Positive
ശ്രുതി ഉണ്ട് അല്ലോ ഇതിൽ ചെറിയ റോൾ	unknown_state
Padam onnu eragikotteda pahayanmare appalekum chelakkan kuthirikunu ororthanmaru.. Onnu poyinada..	Negative
കാണാതെ പോയ മൂക്കുത്തി വേറെ ആണ് . ഇപ്പൊ ഇട്ടിരിക്കുന്നത് സ്പെയർ മൂക്കുത്തി ആണ് .	unknown_state
Ee onam lalettanum pellerum ang edukkuvaaa	Positive
Anu sithara entha kanikatheaa .Oru pic engilum kanikum eee movieyil  ...	unknown_state
After Mohanlals ആര്യൻ its Nivins മൂത്തോൻ  ബോംബെ  അധോലോകം	unknown_state
Lalletan fans like adikku . Fans power kaaniku	unknown_state
പരുന്തിന്റെയും പുത്തൻ പണത്തിന്റെയും അവസ്ഥ വരരുത് പടച്ചോനെ .	Mixed_feelings
Padam pottum Ram fans munji.. sudapi teams  kuru pottum	Negative
Nice song alle ithine njan paadi kulaakitundu aarkengilum kekanumingil	unknown_state
Ivide kidannu thulland aa timil roomil onnude poy nokk penne	Negative
NIVIN #FIELDOUT AYI ENN PARANJAVARK ULLA KIDILAN #REPLY  #FIELDOUT AYAD ALLA.  ORIKKALUM AVAND NIKKANULLA #MARUNN VANGAN POYADHA  #VERUM_MASALLA #MARANA_MASS #MOOTHON	Positive
ഫഹദിന്റെ പടം ആയതോണ്ടാവും പിള്ളേർ അടക്കം നാച്ചുറൽ... പൊളിച്ചു	Positive
Eth mikkavarum putham panam Enna movie yepoleyakum thonnunnavar like	unknown_state
മൂക്കുത്തി കണ്ടില്ല എന്ന് പറഞ്ഞു ആ ചുവപ്പ് തൊപ്പികരനെ വളച്ചു മൂക്കുത്തി വാങ്ങിക്കാൻ ഉള്ള സൈക്കോ അടവ്	unknown_state
saikko shammy fans evide likam	unknown_state
മലയാളം സിനിമ ഇതേത് ലെവലിലേക്കാ പോകുന്നത് .   എജ്ജാതി ഐറ്റംസ്   Hats off geethu	Positive
Guys unlike cheyyunavar Mr.Pandit fans aanue..deshyam pidichit karyamilla..	Negative
ഫഹദിന്റെ ഭാര്യായിറ്റ് അഭിനയിച്ച ചേച്ചി  ഔട്‍സ്റ്റാന്ഡിങ് ആക്ടിങ്	Positive
ഏട്ടന്റെ പിള്ളേർ like ബട്ടൺ അടിച്ചു പൊളിക്ക്	unknown_state
Mammookkayude sound oru rekshayum illa pwolii	Positive
പാട്ട് വളരെ മോശം. സിനിമയും അങ്ങനെ ആകാതെ ഇരുന്നാൽ മതി ആയിരുന്നു	Mixed_feelings
