text	category
ಒಂದು ದೇಶದ ಮುಂದುವರಿಯುವುದು ಅದರ ಆರ್ಥಿಕ ಸ್ಥಿತಿಯನ್ನು ಅವಲಂಬಿಸುವುದಿಲ್ಲ. ಅವರು ಮಾನವೀಯತೆಯಲ್ಲಿ ಎಷ್ಟು ಸಮರ್ಥರು ಎನ್ನುವುದನ್ನು ಅವಲಂಬಿಸಿದೆ. ಭಾರತದಲ್ಲಿ ಅನಕ್ಷರತೆ ಇದೆ ಆ ಅನಕ್ಷರಸ್ಥರನ್ನು ಅವರ ಅನಕ್ಷರತೆಯೇ	Negative
ಕನ್ನಡದಲ್ಲಿ ಡೈಲಿ ಟೆಕ್ ಅಪ್ಡೇಟ್ಸ್ ಪಡೆಯಲು ಸಬ್ಸ್ಕ್ರೈಬ್ ಮಾಡಿ ನಮ್ಮ ಚನ್ನೆಲ್ಗೆ	Positive
Super sar song	not-Kannada
Tiktokers present situation... nನೋಡುವವರು ಯಾರು ನಮ್ಮ ವೀಡಿಯೋನೂ	Negative
Super ಸಾಂಗ್ ವೆರಿ ನೈಸ್....	Positive
Varshakke 3 thagadu movie madi industry haal mado hero galu ondh kade adrenn3 Varsha kasta pattu ondhu olle film mado namma Rakshith Shetty haagu Yash innondh kade n	Negative
Tickets amount 10000 adru mosa illa ... Love you  all	Positive
Super super super film I can't explain	Positive
@Wild Rex ಕಟ್ಟಬೇಕು bronಖಂಡಿತಾ ಕಟ್ಟುತ್ತೆ  bro	Mixed feelings
shankaragouda desaigoudra super	Positive
@Vinay Vn  nani gentle men??	unknown state
Nayanappa's book ??	unknown state
Who is here after 300k likes	Mixed feelings
Sir ನಿಮ್ಮ ಮಾತು 100 ಕ್ಕೆ ೧೦೦% ಸತ್ಯ..	Positive
Very nice togari tippa story	Positive
Superb songnದೀಪಣ್ಣನ ಅಭಿಮಾನಗಳ ಕಡೆಯಿಂದ ರಕ್ಷಿತ ಶೆಟ್ಟಿಯವರಿಗೆ ಶುಭವಾಗಲಿ....	Positive
Erbahudu please support maadi ea rakshit sitting sir genRashmikage hotte uribeku nodi	Negative
Promotion chennagi nadtilla	Negative
Dislike madiroeu pakka Hollywood heroine fans	Negative
Tq bro for saport Trollers iam troller nಜೈ ಹಿಂದ್	Positive
Adi and dia	Positive
Bro a game yavdu	Mixed feelings
Finally  movie nodaytu..... Adbhuta atyadbhuta......... Nodo prati kshananu taleli budhi odtane eirute...... Amazing	Positive
Different star rakshit sir	not-Kannada
Bro superb keep doing	not-Kannada
ರೀ ನಿಮ್ಮ ತಂದೆಯನ್ನು ನೆನೆದು ನೀವು ಮೊಸಳೆ ಕಣ್ಣೀರು ಹಾಕುತ್ತೀರಾ	Negative
ಇದೇ ಥರ ಕನ್ನಡ ಚಲನಚಿತ್ರಗಳನ್ನು ಕೊಡ್ತಾರೆ ರಕ್ಷಿತ್ ಶೆಟ್ಟಿಯವರ ಧನ್ಯವಾದಗಳು	Positive
Super song buddy	Positive
Daily hakri........ nim video super agirutte	Positive
Wat dat means bro	unknown state
hi good day next	not-Kannada
Super   music	not-Kannada
Eega ellakade ursthayirodu kannadigare	Negative
Yes boss e film maatea 7 sala alla 10 sala nodidru bore aagalla	Positive
ಏನು ಮಾಡೋದು ಸರ್ ದೇಶ ಉದ್ದಾರ ಮಾಡುವಷ್ಟು ದುಡ್ಡನ್ನು ನಕಲಿ ಗಾಂಧಿಗಳು ಲೂಟಿ ಮಾಡಿದ್ದಾರೆ ಅದು ಅಲ್ದೇ ಒಬ್ಬ ವಿದೇಶಿ ಮಹಿಳೆ ಕೈಯಲ್ಲಿ ದೇಶ ಸಿಕ್ಕು ಬರಬಾರದ ಪರಸ್ಥಿತಿಯಲ್ಲಿ ಬಂದುಬಿಟ್ಟಿದೆ ಅವಳ ಬ್ಯಾಂಕ್ ಬ್ಯಾಲೆನ್ಸ್ 3 ಬಿಲಿಯನ್ ಇದೆ ಯಾರಪ್ಪನ ಮನೆ ದುಡ್ಡು ಅದು ಸ್ವಲ್ಪ ಅದರ ಬಗ್ಗೆ ಒಂದು ವಿಡಿಯೋ ಮಾಡಿ ಲೂಟಿಕೋರರ ನಕಲಿ ಗಾಂಧಿಗಳ ಬಗ್ಗೆ	Negative
Game yavadu bro adu	Mixed feelings
ಅದ್ಭುತವಾದ ಸಿನಿಮಾ. ನಾನು ಇತ್ತೀಚೆಗೆ ನೋಡಿದ ಎಲ್ಲ ಕನ್ನಡ ಸಿನಿಮಾಗಳಿಗಿಂತ ಇದು ಒಂದು ತೂಕ ಜಾಸ್ತಿ. ಭಾವನೆಗಳ ಭಂಡಾರವನ್ನು ತುಂಬಿ ಕೊಡುವ ಇಂತಹ ಚಿತ್ರಗಳು ಹಿಟ್ ಆಗದಿರುವುದು ಕನ್ನಡ ಚಿತ್ರರಂಗದ ವಿಪರ್ಯಾಸ. ನಿರ್ದೇಶಕರ ಕಲಾತ್ಮಕತೆ ಹಾಗೂ ಸೃಜನಶೀಲತೆಯನ್ನು ಹೊಗಳಲು ಪದಗಳೇ ಸಾಲವು.. ಇಂತ ಸದಭಿರುಚಿಯ ಚಿತ್ರಗಳೇ ಕನ್ನಡ ಚಿತ್ರರಂಗದ ಜೀವಾಳ. ಕಥೆ	Negative
@Ajay Joshi Bhai kannada language me dekh mujhe konsi Kannada aati prr samaj aa gyii	not-Kannada
Ajanesh lokanath	unknown state
Bere singer ge ee song kettidre innu cholo keltittu	Negative
Lo gube don't compare anyone yellaru namma kannada super star	Negative
38 M	not-Kannada
Yakebdre krishnana shapa aduke	Mixed feelings
ಬೇಡ ನೀವು ಒಳ್ಳೆಯ ಮನುಷ್ಯ	Positive
Movie is promising	not-Kannada
Super song	not-Kannada
